	airport1_km	airport2_km	info	latitude	longitude	person_count	price	room_size	score	sightseen_count	url	votes
0	96.0	46.8	"
Двухместный номер с 2 отдельными кроватями
"	39.8633878087	3.09335947037	2.0	20465.0		8.4	8.0	/hotel/es/pollentia-club-resort.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=1179223_95134567_2_41_0;all_sr_blocks=1179223_95134567_2_41_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=1;hapos=1;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX1;from=searchresults;highlight_room=#hotelTmpl	2246.0
1	73.3	59.3	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.6364082652	3.41442257166	2.0	11660.0		8.9	6.0	/hotel/es/eurotel-golf-punta-rotja.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9336302_88193645_2_2_0;all_sr_blocks=9336302_88193645_2_2_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=2;hapos=2;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX2;from=searchresults;highlight_room=#hotelTmpl	922.0
2	92.1	43.4	"
Двухместный номер с 2 отдельными кроватями
"	39.77031498	3.14754139354	2.0	15067.0		9.1	5.0	/hotel/es/santa-fe.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9380213_108475268_0_17_0;all_sr_blocks=9380213_108475268_0_17_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=3;hapos=3;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX3;from=searchresults;highlight_room=#hotelTmpl	501.0
3	94.4	44.1	"
Двухместный номер с 2 отдельными кроватями
"	39.812076704	3.11472535148	2.0	11663.0		8.3	8.0	/hotel/es/alcudi-mar.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=1590107_94323988_2_0_0;all_sr_blocks=1590107_94323988_2_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=4;hapos=4;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX4;from=searchresults;highlight_room=#hotelTmpl	910.0
4		10.9	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.4513137248	2.75318026543	2.0	5575.0		7.5	10.0	/hotel/es/delta.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9226309_108139958_0_0_0;all_sr_blocks=9226309_108139958_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=5;hapos=5;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX5;from=searchresults;highlight_room=#hotelTmpl	959.0
5	67.9	64.0	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.6954568652	3.45438748598	2.0	13518.0		9.1	3.0	/hotel/es/grupotel-aguait.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9412102_91381730_0_1_0;all_sr_blocks=9412102_91381730_0_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=6;hapos=6;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX6;from=searchresults;highlight_room=#hotelTmpl	589.0
6		47.4	"
Номер-студио
"	39.3772322728	3.23653310537	2.0	6654.0	33.0	8.7	8.0	/hotel/es/inturotel-esmeralda-park.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=19128306_105201111_0_0_0;all_sr_blocks=19128306_105201111_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=7;hapos=7;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX7;from=searchresults;highlight_room=#hotelTmpl	1720.0
7		11.7	"
Двухместный номер с 1 кроватью
"	39.54268065	2.59466707706	2.0	14855.0		8.4	10.0	/hotel/es/barcelo-albatros.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9405316_88195415_0_1_0;all_sr_blocks=9405316_88195415_0_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=8;hapos=8;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX8;from=searchresults;highlight_room=#hotelTmpl	1155.0
8	92.7	43.0	"
Бунгало
"	39.7739861288	3.13884168863	2.0	11300.0		8.6	6.0	/hotel/es/blue-bay-resort.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=1329311_95137287_0_33_0;all_sr_blocks=1329311_95137287_0_33_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=9;hapos=9;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX9;from=searchresults;highlight_room=#hotelTmpl	718.0
9	77.6	56.3	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.5869052086	3.38572025299	2.0	14419.0		8.8	6.0	/hotel/es/iberostar-calamillor.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=1315312_95137061_0_0_0;all_sr_blocks=1315312_95137061_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=10;hapos=10;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX10;from=searchresults;highlight_room=#hotelTmpl	143.0
